Date,AAPL,AMZN,GOOGL,JNJ,JPM,META,MSFT,NVDA,PG,XOM
3/31/2015,27.6939621,18.60499954,27.52701378,74.58782959,45.08952332,81.64965057,34.9054451,0.504140615,60.69525528,53.43091965
4/1/2015,27.65390015,18.51300049,27.26846886,73.51277924,44.91719818,81.10345459,34.95693588,0.506067872,60.97673035,53.09147644
4/2/2015,27.89204407,18.61249924,26.86253738,73.87610626,45.3442688,80.99423218,34.58781052,0.507271945,61.05821991,52.9908905
4/6/2015,28.34385681,18.85199928,26.99354362,73.52017975,45.30680084,81.86811066,35.66947174,0.521965265,61.51003265,53.51264954
4/7/2015,28.04562569,18.72050095,27.03870392,74.21712494,45.59151459,81.74895477,35.65231323,0.526541948,61.0285759,53.90237808
4/8/2015,27.95437622,19.05999947,27.23621178,74.26161194,45.74137115,81.70922852,35.55787277,0.530395746,61.31004333,52.84001923
4/9/2015,28.16803169,19.17700005,27.19551849,75.12908173,46.05605698,81.59998322,35.60939026,0.542680085,61.39896011,53.21089172
4/10/2015,28.28821564,19.13249969,27.22132492,75.67033386,46.22837448,81.47089386,35.81542587,0.548219979,61.73967361,53.78292847
4/13/2015,28.23256874,19.11800003,27.22628403,74.55078125,46.50559998,82.43416595,35.84973907,0.54316175,61.79894638,53.64463043
4/14/2015,28.11016083,19.25550079,26.78660774,74.52854156,47.23236847,82.94063568,35.75532532,0.538585186,61.92487335,54.45553207
4/15/2015,28.21699142,19.17250061,26.84913445,74.58782959,48.1089859,82.13625336,36.2789917,0.545088708,61.858181,55.36702347
4/16/2015,28.08123016,19.30200005,26.97220421,73.9872818,47.8092804,81.73902893,36.19314194,0.541716576,61.85078049,55.14700699
4/17/2015,27.76518822,18.77799988,26.43724632,73.83158112,47.08251953,80.21963501,35.72956848,0.534731328,61.13228226,54.64412308
4/20/2015,28.39949226,19.47550011,27.02232552,74.29869843,47.38222122,82.51360321,36.83699799,0.532081842,61.38412476,54.83896637
4/21/2015,28.24593163,19.55900002,26.94242859,74.36541748,46.68540955,83.03994751,36.60521698,0.531359076,61.53969955,54.6126976
4/22/2015,28.62651825,19.48999977,27.25308228,74.46183014,47.15744019,84.04292297,36.90567017,0.537381053,61.54708481,54.9772644
4/23/2015,28.86021042,19.49950027,27.66397667,74.48403931,47.05254364,81.83833313,37.20614624,0.535212815,60.4442215,55.02755737
4/24/2015,28.99598312,22.25499916,28.46790504,74.94371796,46.90269089,80.96443176,41.09501266,0.530636549,60.48156738,54.6692543
4/27/2015,29.52345276,21.9279995,28.09373093,74.57302856,46.70788574,81.3418045,41.2323761,0.534731328,60.18289185,54.69439697
4/28/2015,29.05829048,21.46549988,28.00688744,74.69165802,47.02257919,80.12033081,42.2024498,0.537381053,60.04847717,55.19099426
4/29/2015,28.63097,21.46850014,27.85900116,74.43215179,47.65193558,79.91179657,42.11659241,0.533286273,59.62289047,55.23501587
4/30/2015,27.8542099,21.0890007,27.23273659,73.54985046,47.39719391,78.22357941,41.75603485,0.534731328,59.36901855,54.92068481
5/1/2015,28.69996071,21.14349937,27.35134315,74.23937225,47.6594429,78.44205475,41.77320862,0.547979355,59.95141983,55.8510437
5/4/2015,28.64432526,21.15200043,27.43470955,74.40249634,48.49109268,78.26330566,41.4126358,0.544607162,59.99623108,56.01445007
5/5/2015,27.99887466,21.05949974,26.94838715,73.77228546,48.25133514,77.02196503,40.86322784,0.530636549,59.78714752,55.70016479
5/6/2015,27.82305527,20.95499992,26.55336952,73.52760315,47.89170456,77.5582428,39.7300415,0.532322764,60.03355789,55.43614578
5/7/2015,27.99514198,21.34399986,26.89875984,73.89089966,48.32626343,77.88593292,40.09060669,0.541716576,59.88421631,55.06526184
5/8/2015,28.52260017,21.68449974,27.24167061,75.23287964,49.06800461,77.96538544,40.99200058,0.501731992,60.45167923,55.93900299
5/11/2015,28.23205376,21.64249992,27.08435631,74.90666199,49.03804398,77.46886444,40.66577911,0.496914685,59.93647766,55.00101852
5/12/2015,28.13148308,21.5510006,26.73450279,74.49146271,48.97061539,76.92266846,40.64860535,0.501731992,59.69752502,55.15312195
5/13/2015,28.16276932,21.34350014,26.77221489,74.55078125,49.09047699,77.89587402,40.88898087,0.504622579,59.5108757,54.86156845
5/14/2015,28.8198452,21.61400032,27.254076,75.49982452,49.48758698,80.80554962,41.82472229,0.512812197,60.16048813,55.12142181
5/15/2015,28.77962112,21.29999924,27.11959076,75.84828949,49.36021042,79.86213684,41.46415329,0.513052881,60.51891708,55.36227417
5/18/2015,29.09698296,21.26199913,27.12852669,76.67865753,49.76480484,80.31894684,41.21520233,0.512330651,60.28741074,55.04537201
5/19/2015,29.070158,21.08550072,27.25804329,77.07904053,50.20685959,80.07067871,41.11152267,0.509136379,60.35464859,55.13410568
5/20/2015,29.06792831,21.19300079,27.41833305,76.81216431,49.80976486,79.99124908,41.11152267,0.509136379,60.09328842,55.22283173
5/21/2015,29.36517525,21.5814991,27.6317215,76.49098206,49.93714142,79.92173004,40.97327042,0.505506277,60.04102707,55.27352905
5/22/2015,29.6221962,21.38150024,27.51808357,75.69189453,49.8022728,79.98130798,40.52396393,0.504780412,59.69752502,54.83621597
5/26/2015,28.96958542,21.27350044,27.1543293,75.29605103,49.24783325,78.77970123,40.25610733,0.501634777,59.09274673,54.09467697
5/27/2015,29.51044846,21.57099915,27.50468063,75.527565,49.8022728,79.99124908,41.13743591,0.528494954,59.27940369,53.94256973
5/28/2015,29.45233727,21.32850075,27.50120735,75.54252625,49.5999794,79.59401703,40.99918747,0.535754561,59.23461151,53.94256973
5/29/2015,29.11709595,21.46150017,27.06152916,74.78820801,49.28527832,78.64066315,40.48939514,0.535512567,58.53271484,53.9995842
6/1/2015,29.17520523,21.54599953,27.25457191,74.71352386,49.51005936,79.73303986,40.80908585,0.541561961,58.876194,53.95524979
6/2/2015,29.045578,21.54949951,27.48979378,74.66872406,49.46511078,79.88199615,40.54122162,0.530914843,58.64472198,53.96157074
6/3/2015,29.08133888,21.8295002,27.55629349,74.75085449,49.97459793,81.86811066,40.48075485,0.525107205,58.6596489,53.84114838
6/4/2015,28.91147995,21.53899956,27.37764168,74.10860443,49.6973877,81.48083496,40.05737305,0.534544587,58.35352325,53.378479
6/5/2015,28.75279999,21.34749985,27.27045059,73.63062286,50.51404953,81.57019806,39.86728287,0.538658202,57.81591034,53.41651535
6/8/2015,28.56283379,21.17499924,26.97022247,73.1601181,50.11695862,80.1104126,39.51301956,0.526317298,58.02496338,53.77777481
